RE19,2017-04-27,70780
RE19,2017-04-25,72541
RE19,2017-04-22,92393
RE19,2017-04-28,51037
RE19,2017-04-23,72494
RE19,2017-04-24,50876
RE19,2017-04-26,54181
RE19,2017-04-21,92957
CAVI,2017-04-30,96035
CAVI,2017-04-27,118817
CAVI,2017-04-25,112182
CAVI,2017-04-22,85948
CAVI,2017-04-28,79835
CAVI,2017-04-29,32648
CAVI,2017-04-23,85857
CAVI,2017-04-24,86460
CAVI,2017-04-26,111450
CAVI,2017-04-21,69003
HORS,2017-04-30,11210
HORS,2017-04-27,14806
HORS,2017-04-25,10409
HORS,2017-04-22,16268
HORS,2017-04-28,17166
HORS,2017-04-29,15910
HORS,2017-04-23,10729
HORS,2017-04-24,7021
HORS,2017-04-26,11925
HORS,2017-04-21,20345
RE03,2017-04-30,46441
RE03,2017-04-27,31017
RE03,2017-04-25,33492
RE03,2017-04-22,42323
RE03,2017-04-28,38190
RE03,2017-04-29,40376
RE03,2017-04-23,42350
RE03,2017-04-24,25565
RE03,2017-04-26,27027
RE03,2017-04-21,54675
BIAN,2017-04-30,14214
BIAN,2017-04-27,3132
BIAN,2017-04-25,2885
BIAN,2017-04-22,7616
BIAN,2017-04-28,3074
BIAN,2017-04-29,3964
BIAN,2017-04-23,2999
BIAN,2017-04-24,1097
BIAN,2017-04-26,2230
BIAN,2017-04-21,7781
MACF,2017-04-30,547
MACF,2017-04-27,2064
MACF,2017-04-25,1044
MACF,2017-04-22,3113
MACF,2017-04-28,3314
MACF,2017-04-29,1878
MACF,2017-04-23,1657
MACF,2017-04-24,2061
MACF,2017-04-26,2555
MACF,2017-04-21,2382
MLF2,2017-04-30,48410
MLF2,2017-04-27,41234
MLF2,2017-04-25,40218
MLF2,2017-04-22,61000
MLF2,2017-04-28,41445
MLF2,2017-04-29,47907
MLF2,2017-04-23,40945
MLF2,2017-04-24,29262
MLF2,2017-04-26,31054
MLF2,2017-04-21,54044
GATR,2017-04-27,61935
GATR,2017-04-25,65075
GATR,2017-04-22,81242
GATR,2017-04-28,47990
GATR,2017-04-23,61617
GATR,2017-04-24,44247
GATR,2017-04-26,49541
GATR,2017-04-21,83422
PIPE,2017-04-30,6264
PIPE,2017-04-27,6352
PIPE,2017-04-25,1738
PIPE,2017-04-22,183
PIPE,2017-04-28,3030
PIPE,2017-04-29,5936
PIPE,2017-04-23,303
PIPE,2017-04-24,795
PIPE,2017-04-26,5080
PIPE,2017-04-21,386
