6007,22478
6001,47
6046,1166
5140,2783
5974,594540
6006,344332
5103,798037
5191,664
4751,2
4560,25
5762,4365
4935,896714
4713,452265
2973,24
5153,704122
5867,296446
4025,13
4140,1595
5993,225
5881,600598
5597,2
5907,35
5946,1349
3703,1
5568,23
5583,77118
4436,2
6005,687291
5789,16975
5998,588
6003,285288
4889,125997
5838,12
5880,232352
5804,75566
4549,61118
4968,579399
5462,101481
5878,106
5442,684075
5944,221688
6008,15
5035,8
5389,343494
5964,19
5378,2
5174,8
6019,34020
4754,341
5715,10450
5876,724081
5945,14037
4884,316845
5007,29177
5714,8392
6000,577151
5992,61
5376,1
5679,655604
5771,25
5562,82
4621,444355
5636,21
4629,703614
5383,1135
5736,12
5209,699796
5976,8
