TAG,DATE,GROUP,BIRD,SEX,STATUS,LR,UR,LL,UL,Comments
2852 524C,5/30/2016,MLF2,4754,M,B,D blue- yellow (N),D green,D green,metal,2852 524C (C or 6)
5255 64B,6/3/2017,BUCK,4713,F,B,yellow,Lpink,Lblue,m,"missing radio tag numbers, had been previously radio tagged, tag still on and in good condition"
2DB4 ADB3,6/3/2017,BUCK,6019,F,B,F GREEN,m,WHITE-BLACK (N),RED- D BLUE,
5255 4B2A,6/3/2017,BUCK,5789,M,H,yellow- l pink,green- white,green- orange,m,
66B4 CCAA,6/5/2017,KNOL,5007,F,B,b pink,m,b pink - white,black-white (N),
5255 4B33,6/5/2017,KNOL,5715,F,H,D PINK,FGREEN,WHITE -L BLUE,M,
332A 5552,6/11/2017,A1,5991,M,,M,B PINK,L GREEN-D GREEN,BPINK,
332A 552A,6/11/2017,A1,4560,M,,RED-L GREEN,M,BLACK,D BLUE- MAUVE,
5255 2A55,6/11/2017,A1,5993,F,,ORANGE,D BLUE-WHITE,WHITE- L GREEN,M,
2AD2 ADAA,6/11/2017,A1,5992,F,,D PINK,D BLUE-RED,M,BLACK- B PINK (N),
66CC 99AD,6/11/2017,A1,5035,M,,D BLUE,ORANGE- L BLUE,M,MAUVE,
332A 524C,6/15/2017,LA2,4140,M,B,D-Blue-White (N),M,Yellow,D-Blue-White (N),
5255 664C,6/15/2017,LA2,5383,F,H,Grey,B Pink,Black-D Pink,M,
5255 4B52,6/15/2017,LA2,6046,F,H,Orange-Dblue,Red,M,White-Black,
4B33 3355,6/15/2017,LA2,5163,F,H,[L-Pink-White],L-Pink-L-Green,[D-Blue-White (N)],M,
5555 4B2D,6/15/2017,LA2,5381,M,H,M,White-L Pink,L Blue- Yellow,Yellow-L Blue,
5555 2D66,6/15/2017,LA2,5852,F,H,Black-L Green,M,M Blue,Orange,
